,,Sala,-additional
Delon Wright,WAS,$7804878,wrighde01
Patrick Williams,CHI,$7775400,willipa01
Scottie Barnes,TOR,$7644600,barnesc01
Cedi Osman,CLE,$7426088,osmande01
Coby White,CHI,$7413955,whiteco01
Zach Collins,SAS,$7350000,colliza01
Taurean Prince,MIN,$7295000,princta02
Jaden Ivey,DET,$7252200,iveyja01
Jae'Sean Tate,HOU,$7065217,tateja01
Isaac Okoro,CLE,$7040880,okorois01
Cody Martin,CHO,$7000000,martico01
Jalen Suggs,ORL,$6922320,suggsja01
Jaxson Hayes,NOP,$6803012,hayesja02
Khem Birch,TOR,$6667500,birchkh01
Bennedict Mathurin,IND,$6586800,mathube01
Caleb Martin,MIA,$6479000,martica02
John Wall,LAC,$47345760,walljo01
Patty Mills,BRK,$6479000,millspa02
Danilo Gallinari,BOS,$16907880,gallida01
Joe Ingles,MIL,$6479000,inglejo01
Lonnie Walker IV,LAL,$6479000,walkelo01
Bruce Brown,DEN,$6479000,brownbr01
Onyeka Okongwu,ATL,$6395160,okongon01
Justin Holiday,ATL,$6292440,holidju01
Josh Giddey,OKC,$6287400,giddejo01
Rui Hachimura,WAS,$6263188,hachiru01
Rudy Gay,UTA,$6184500,gayru01
Shaedon Sharpe,POR,$6012960,sharpsh01
Cameron Payne,PHO,$6000000,payneca01
Otto Porter Jr.,TOR,$6000000,porteot01
Cam Reddish,NYK,$5954454,reddica01
Cameron Johnson,PHO,$5887899,johnsca02
Ricky Rubio,CLE,$5853659,rubiori01
Killian Hayes,DET,$5837760,hayeski01
P.J. Washington,CHO,$5808435,washipj01
Jonathan Kuminga,GSW,$5739840,kuminjo01
Pat Connaughton,MIL,$5728393,connapa01
Tyler Herro,MIA,$5722116,herroty01
Romeo Langford,SAS,$5634257,langfro01
Dyson Daniels,NOP,$5508600,daniedy01
JaVale McGee,DAL,$5461219,mcgeeja01
Obi Toppin,NYK,$5348280,toppiob01
Franz Wagner,ORL,$5258280,wagnefr01
Kendrick Nunn,LAL,$5250000,nunnke01
Hamidou Diallo,DET,$5200000,diallha01
Garrett Temple,NOP,$5155500,templga01
Cory Joseph,DET,$5155500,josepco01
Torrey Craig,PHO,$5121951,craigto01
Jeremy Sochan,SAS,$5063520,sochaje01
David Nwaba,OKC,$5022000,nwabada01
Nickeil Alexander-Walker,UTA,$5009633,alexani01
Furkan Korkmaz,PHI,$5000000,korkmfu01
Deni Avdija,WAS,$4916160,avdijde01
Davion Mitchell,SAC,$4833600,mitchda01
Johnny Davis,WAS,$4810320,davisjo06
Goga Bitadze,IND,$4765339,bitadgo01
Ish Smith,DEN,$4725000,smithis01
Dewayne Dedmon,MIA,$7566667,dedmode01
Jalen Smith,IND,$4670160,smithja04
Ziaire Williams,MEM,$4591680,willizi02
Ousmane Dieng,OKC,$4569840,diengou01
Maurice Harkless,HOU,$4564980,harklma01
Donte DiVincenzo,GSW,$4500000,divindo01
Jeff Green,DEN,$4500000,greenje02
Devin Vassell,SAS,$4437000,vassede01
Matisse Thybulle,PHI,$4379527,thybuma01
Jarred Vanderbilt,UTA,$4374000,vandeja01
James Bouknight,CHO,$4362240,bouknja01
Brandon Clarke,MEM,$4343920,clarkbr01
Jalen Williams,OKC,$4341480,willija06
Grant Williams,BOS,$4306281,willigr01
Darius Bazley,OKC,$4264629,bazleda01
Ty Jerome,HOU,$4220057,jeromty01
Tyrese Haliburton,IND,$4215120,halibty01
Nassir Little,POR,$4171548,littlna01
Joshua Primo,SAS,$4144320,primojo01
Jalen Duren,DET,$4124280,durenja01
Danuel House Jr.,PHI,$4105000,houseda01
Justise Winslow,POR,$4097561,winslju01
Dylan Windler,CLE,$4037278,windldy01
Kira Lewis Jr.,NOP,$4004280,lewiski01
Terence Davis,SAC,$4000000,daviste02
George Hill,MIL,$4000000,hillge01
Chris Duarte,IND,$3936960,duartch01
Jevon Carter,BRK,$6025000,carteje01
Alex Len,SAC,$3918600,lenal01
Ochai Agbaji,UTA,$3918360,agbajoc01
Jordan Poole,GSW,$3901399,poolejo01
Keldon Johnson,SAS,$3873025,johnske04
Aaron Nesmith,IND,$3804360,nesmiaa01
Moses Moody,GSW,$3740160,moodymo01
Mark Williams,CHO,$3722040,willima07
Cole Anthony,ORL,$3613680,anthoco01
Corey Kispert,WAS,$3552840,kispeco01
AJ Griffin,ATL,$3536160,griffaj01
Mike Muscala,OKC,$3500000,muscami01
Boban Marjanović,HOU,$3500000,marjabo01
Georges Niang,PHI,$3465000,niangge01
Chuma Okeke,ORL,$3433320,okekech01
Isaiah Stewart,DET,$3433320,stewais01
Amir Coffey,LAC,$3395062,coffeam01
Alperen Şengün,HOU,$3375360,sengual01
Tari Eason,HOU,$3359160,easonta01
Aleksej Pokusevski,OKC,$3261480,pokusal01
Kevin Porter Jr.,HOU,$3217631,porteke02
Trey Murphy III,NOP,$3206520,murphtr02
Simone Fontecchio,UTA,$3205128,fontesi01
Andre Drummond,CHI,$3200000,drumman01
Derrick Jones Jr.,CHI,$3200000,jonesde02
Dalen Terry,CHI,$3191400,terryda01
Josh Green,DAL,$3098400,greenjo02
Jake LaRavia,MEM,$3047640,laravja01
Tre Mann,OKC,$3046200,manntr01
Jordan Nwora,MIL,$3000000,nworajo01
Sterling Brown,OKC,$3000000,brownst02
Kevin Knox,DET,$3000000,knoxke01
Saddiq Bey,DET,$2959080,beysa01
Malaki Branham,SAS,$2925600,branhma01
Kai Jones,CHO,$2909040,joneska01
Dewayne Dedmon,DET,$7566667,dedmode01
Andrew Nicholson,POR,$2844430,nichoan01
Precious Achiuwa,TOR,$2840160,achiupr01
Christian Braun,DEN,$2808600,braunch01
Jalen Johnson,ATL,$2792640,johnsja05
Tyrese Maxey,PHI,$2726880,maxeyty01
Bruno Fernando,HOU,$2717391,fernabr01
Walker Kessler,UTA,$2696400,kesslwa01
Keon Johnson,POR,$2681040,johnske07
Trey Lyles,SAC,$2625000,lylestr01
Zeke Nnaji,DEN,$2617800,nnajize01
David Roddy,MEM,$2588640,roddyda01
Isaiah Jackson,IND,$2573760,jacksis01
MarJon Beauchamp,MIL,$2485200,beaucma01
Usman Garuba,HOU,$2471160,garubus01
Leandro Bolmaro,UTA,$2471160,bolmale01
Montrezl Harrell,PHI,$2463490,harremo01
Willy Hernangómez,NOP,$2443581,hernawi01
R.J. Hampton,ORL,$2412840,hamptrj01
Blake Wesley,SAS,$2385480,weslebl01
Josh Christopher,HOU,$2372160,chrisjo01
Stanley Johnson,UTA,$2351521,johnsst04
Immanuel Quickley,NYK,$2316240,quickim01
John Konchar,MEM,$2300000,konchjo01
Damian Jones,LAL,$2298385,jonesda03
Quentin Grimes,NYK,$2277000,grimequ01
Andrew Nembhard,IND,$2244111,nembhan01
Nikola Jović,MIA,$2239920,jovicni01
Payton Pritchard,BOS,$2239200,pritcpa01
Vlatko Čančar,DEN,$2234359,cancavl01
Patrick Baldwin Jr.,GSW,$2226000,baldwpa01
TyTy Washington Jr.,HOU,$2210040,washity02
Bones Hyland,DEN,$2201520,hylanbo01
Bol Bol,ORL,$2200000,bolbo01
Peyton Watson,DEN,$2193960,watsope01
Marquese Chriss,OKC,$2193920,chrisma01
Udoka Azubuike,UTA,$2174880,azubuud01
Jaden McDaniels,MIN,$2161440,mcdanja02
Jordan McLaughlin,MIN,$2160000,mclaujo01
Malachi Flynn,TOR,$2145720,flynnma01
Cam Thomas,BRK,$2138160,thomaca02
Luke Kornet,BOS,$2133278,kornelu01
Desmond Bane,MEM,$2130240,banede01
Jaden Springer,PHI,$2125200,sprinja01
Day'Ron Sharpe,BRK,$2109480,sharpda01
Jevon Carter,MIL,$6025000,carteje01
Santi Aldama,MEM,$2094120,aldamsa01
Tony Bradley,CHI,$2036318,bradlto01
Frank Ntilikina,DAL,$2036318,ntilila01
Kenrich Williams,OKC,$2000000,willike04
Caleb Houstan,ORL,$2000000,houstca01
Jaylin Williams,OKC,$2000000,willija07
Jeremiah Robinson-Earl,OKC,$2000000,robinje02
Garrison Mathews,HOU,$2000000,mathega01
Shake Milton,PHI,$1997718,miltosh01
Edmond Sumner,BRK,$1968175,sumneed01
Daniel Gafford,WAS,$1930681,gaffoda01
Terance Mann,LAC,$1930681,mannte01
Dean Wade,CLE,$1930681,wadede01
Isaiah Roby,SAS,$1930681,robyis01
Jalen McDaniels,CHO,$1930681,mcdanja01
Naz Reid,MIN,$1930681,reidna01
Jaylen Nowell,MIN,$1930681,nowelja01
Chimezie Metu,SAC,$1910860,metuch01
